"Story","Title","Result","Date","Stability","Duration (s)"
"Trainer availability","<= 0.5 day training and many trainers are qualified","SUCCESS","2017-05-13T19:37:27.388Z","0.0","0.09"
"Trainer availability","<= 0.5 day training and only two trainers are qualified","SUCCESS","2017-05-13T19:37:27.701Z","0.0","0.11"
"Trainer availability",">= 1 day training and many trainers are qualified","SUCCESS","2017-05-13T19:37:27.304Z","0.0","0.08"
"Trainer availability",">= 1 day training and only two trainers are qualified","SUCCESS","2017-05-13T19:37:27.482Z","0.0","0.22"
"Trainer reoccurrences","February","SUCCESS","2017-05-13T19:37:26.002Z","0.0","0.1"
"Trainer reoccurrences","Holidays","SUCCESS","2017-05-13T19:37:26.215Z","0.0","0.78"
"Trainer experience","a trainer gives multiple courses","SUCCESS","2017-05-13T19:37:27.862Z","0.0","0.08"
"Trainer experience","a trainer gives only 2 courses","SUCCESS","2017-05-13T19:37:27.940Z","0.0","0.02"
"Trainer couples","many trainers are available","SUCCESS","2017-05-13T19:37:27.054Z","0.0","0.14"
"Trainer reoccurrences","normal month","SUCCESS","2017-05-13T19:37:25.487Z","0.0","0.32"
"Trainer couples","only qualified trainers from the same project are available","SUCCESS","2017-05-13T19:37:27.195Z","0.0","0.08"
"Trainer experience","re-education is needed","SUCCESS","2017-05-13T19:37:27.956Z","0.0","0.07"
"Trainer reoccurrences","the duration of a course influences the amount of courses one trainer can give in one month","SUCCESS","2017-05-13T19:37:26.106Z","0.0","0.11"
